,出发时间,到达时间,始发机场,到达机场,航空公司,航班号,票价,官网购票链接
0,"11:30 AM on Sun, Nov 12","5:45 PM on Mon, Nov 13",Los Angeles International Airport (LAX),Shanghai Pudong International Airport (PVG),China Eastern,MU 586,"$1,706",https://www.google.com/travel/flights?q=Flights%20from%20LAX%20to%20PVG%20on%202023-11-12%20one%20way%20non%20stop%20China Eastern
1,"12:15 PM on Sun, Nov 12","6:35 PM on Mon, Nov 13",San Francisco International Airport (SFO),Shanghai Pudong International Airport (PVG),United,UA 857,"$1,162",https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20PVG%20on%202023-11-12%20one%20way%20non%20stop%20United
2,"11:20 AM on Sun, Nov 12","5:05 PM on Mon, Nov 13",Seattle-Tacoma International Airport (SEA),Shanghai Pudong International Airport (PVG),Delta,DL 281,"$1,069",https://www.google.com/travel/flights?q=Flights%20from%20SEA%20to%20PVG%20on%202023-11-12%20one%20way%20non%20stop%20Delta
3,"1:20 PM on Sun, Nov 12","6:10 PM on Mon, Nov 13",Los Angeles International Airport (LAX),Beijing Capital International Airport (PEK),Air China,CA 988,,https://www.google.com/travel/flights?q=Flights%20from%20LAX%20to%20PEK%20on%202023-11-12%20one%20way%20non%20stop%20Air China
4,"10:50 AM on Sun, Nov 12","5:25 PM on Mon, Nov 13",San Francisco International Airport (SFO),Beijing Capital International Airport (PEK),United,UA 888,"$1,067",https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20PEK%20on%202023-11-12%20one%20way%20non%20stop%20United
5,"12:55 PM on Sun, Nov 12","6:40 PM on Mon, Nov 13",San Francisco International Airport (SFO),Wuhan Tianhe International Airport (WUH),China Southern,CZ 660,"$1,236",https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20WUH%20on%202023-11-12%20one%20way%20non%20stop%20China Southern
6,"10:45 PM on Sun, Nov 12","6:00 AM on Tue, Nov 14",Los Angeles International Airport (LAX),Xiamen Gaoqi International Airport (XMN),XiamenAir,MF 830,"$1,169",https://www.google.com/travel/flights?q=Flights%20from%20LAX%20to%20XMN%20on%202023-11-12%20one%20way%20non%20stop%20XiamenAir
7,"3:25 PM on Mon, Nov 13","7:15 PM on Tue, Nov 14",John F. Kennedy International Airport (JFK),Shanghai Pudong International Airport (PVG),China Eastern,MU 588,"$9,596",https://www.google.com/travel/flights?q=Flights%20from%20JFK%20to%20PVG%20on%202023-11-13%20one%20way%20non%20stop%20China Eastern
8,"12:00 PM on Mon, Nov 13","5:35 PM on Tue, Nov 14",San Francisco International Airport (SFO),Shanghai Pudong International Airport (PVG),China Eastern,MU 590,"$1,136",https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20PVG%20on%202023-11-13%20one%20way%20non%20stop%20China Eastern
9,"12:15 PM on Mon, Nov 13","6:35 PM on Tue, Nov 14",San Francisco International Airport (SFO),Shanghai Pudong International Airport (PVG),United,UA 857,"$3,653",https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20PVG%20on%202023-11-13%20one%20way%20non%20stop%20United
10,"11:20 AM on Mon, Nov 13","5:05 PM on Tue, Nov 14",Seattle-Tacoma International Airport (SEA),Shanghai Pudong International Airport (PVG),Delta,DL 281,$939,https://www.google.com/travel/flights?q=Flights%20from%20SEA%20to%20PVG%20on%202023-11-13%20one%20way%20non%20stop%20Delta
11,"10:05 AM on Mon, Nov 13","3:20 PM on Tue, Nov 14",Detroit Metropolitan Wayne County Airport (DTW),Shanghai Pudong International Airport (PVG),Delta,DL 389,"$1,432",https://www.google.com/travel/flights?q=Flights%20from%20DTW%20to%20PVG%20on%202023-11-13%20one%20way%20non%20stop%20Delta
12,"9:20 PM on Mon, Nov 13","4:40 AM on Wed, Nov 15",Los Angeles International Airport (LAX),Beijing Capital International Airport (PEK),Air China,CA 982,,https://www.google.com/travel/flights?q=Flights%20from%20LAX%20to%20PEK%20on%202023-11-13%20one%20way%20non%20stop%20Air China
13,"10:50 AM on Mon, Nov 13","5:25 PM on Tue, Nov 14",San Francisco International Airport (SFO),Beijing Capital International Airport (PEK),United,UA 888,$967,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20PEK%20on%202023-11-13%20one%20way%20non%20stop%20United
14,"9:35 PM on Mon, Nov 13","5:40 AM on Wed, Nov 15",Los Angeles International Airport (LAX),Guangzhou Baiyun International Airport (CAN),China Southern,CZ 328,"$3,236",https://www.google.com/travel/flights?q=Flights%20from%20LAX%20to%20CAN%20on%202023-11-13%20one%20way%20non%20stop%20China Southern
15,"12:15 PM on Tue, Nov 14","6:35 PM on Wed, Nov 15",San Francisco International Airport (SFO),Shanghai Pudong International Airport (PVG),United,UA 857,"$3,653",https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20PVG%20on%202023-11-14%20one%20way%20non%20stop%20United
16,"11:20 AM on Tue, Nov 14","5:05 PM on Wed, Nov 15",Seattle-Tacoma International Airport (SEA),Shanghai Pudong International Airport (PVG),Delta,DL 281,$939,https://www.google.com/travel/flights?q=Flights%20from%20SEA%20to%20PVG%20on%202023-11-14%20one%20way%20non%20stop%20Delta
17,"9:59 AM on Tue, Nov 14","4:10 PM on Wed, Nov 15",Dallas/Fort Worth International Airport (DFW),Shanghai Pudong International Airport (PVG),American,AA 127,"$4,037",https://www.google.com/travel/flights?q=Flights%20from%20DFW%20to%20PVG%20on%202023-11-14%20one%20way%20non%20stop%20American
18,"10:50 AM on Tue, Nov 14","5:25 PM on Wed, Nov 15",San Francisco International Airport (SFO),Beijing Capital International Airport (PEK),United,UA 888,$967,https://www.google.com/travel/flights?q=Flights%20from%20SFO%20to%20PEK%20on%202023-11-14%20one%20way%20non%20stop%20United
19,"10:50 PM on Tue, Nov 14","5:25 AM on Thu, Nov 16",Los Angeles International Airport (LAX),Shenzhen Bao'an International Airport (SZX),Air China,CA 770,,https://www.google.com/travel/flights?q=Flights%20from%20LAX%20to%20SZX%20on%202023-11-14%20one%20way%20non%20stop%20Air China
20,"10:45 PM on Tue, Nov 14","6:00 AM on Thu, Nov 16",Los Angeles International Airport (LAX),Xiamen Gaoqi International Airport (XMN),XiamenAir,MF 830,"$1,016",https://www.google.com/travel/flights?q=Flights%20from%20LAX%20to%20XMN%20on%202023-11-14%20one%20way%20non%20stop%20XiamenAir
